2026-04-16 13:50:26 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:50:26 | INFO     | train | Model loaded.  Trainable parameters: 82,300,418
2026-04-16 13:50:26 | INFO     | train | TrainingArguments set.  Effective batch size = 16.
2026-04-16 13:55:02 | WARNING  | train | No GPU detected — training on CPU.  Consider reducing BATCH_SIZE and NUM_EPOCHS in config.py.
2026-04-16 13:55:02 | INFO     | train | ======================================================================
2026-04-16 13:55:02 | INFO     | train | ESG Report Authenticity Scorer — Training Pipeline
2026-04-16 13:55:02 | INFO     | train | Base model : climatebert/distilroberta-base-climate-f
2026-04-16 13:55:02 | INFO     | train | Device     : cpu
2026-04-16 13:55:02 | INFO     | train | ======================================================================
2026-04-16 13:55:02 | INFO     | train | Loaded 300 gold-labelled rows.
2026-04-16 13:55:02 | INFO     | train | Loaded 4957 auto-labelled rows.
2026-04-16 13:55:02 | INFO     | train | Final merged dataset: 5050 rows.
2026-04-16 13:55:02 | INFO     | train | Split: 4292 train  |  758 validation  (stratified by label).
2026-04-16 13:55:02 | INFO     | train | Loading tokenizer from 'climatebert/distilroberta-base-climate-f' …
2026-04-16 13:55:03 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:55:03 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 13:55:03 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:55:04 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:55:04 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 13:55:04 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 13:55:04 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 13:55:06 | INFO     | train | Tokenisation complete.  Max seq length = 256.
2026-04-16 13:55:06 | INFO     | train | Auto-computed class weights (balanced): SPECIFIC(0)=1.2138  VAGUE(1)=0.8502
2026-04-16 13:55:06 | INFO     | train | Loading model from 'climatebert/distilroberta-base-climate-f' …
2026-04-16 13:55:07 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:55:07 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:55:07 | INFO     | train | Model loaded.  Trainable parameters: 82,300,418
2026-04-16 13:55:07 | INFO     | train | TrainingArguments set.  Effective batch size = 16.
2026-04-16 13:55:14 | INFO     | train | Starting training …
2026-04-16 14:54:45 | INFO     | train | Confusion Matrix:
[[302  10]
 [ 85 361]]
2026-04-16 14:54:45 | INFO     | train |   f1_macro             actual=0.8739  target=0.80  ✓ PASS
2026-04-16 14:54:45 | INFO     | train |   precision            actual=0.8767  target=0.85  ✓ PASS
2026-04-16 14:54:45 | INFO     | train |   auc_roc              actual=0.9611  target=0.85  ✓ PASS
2026-04-16 14:54:45 | INFO     | train |   cohens_kappa         actual=0.7503  target=0.70  ✓ PASS
2026-04-16 15:55:00 | INFO     | inference | Loading fine-tuned model from C:\Users\aditi\OneDrive\Desktop\esg_scorer\models\climatebert-esg-scorer …
2026-04-16 15:56:14 | INFO     | inference | Loading fine-tuned model from C:\Users\aditi\OneDrive\Desktop\esg_scorer\models\climatebert-esg-scorer …
2026-04-16 15:57:55 | INFO     | inference | Loading fine-tuned model from C:\Users\aditi\OneDrive\Desktop\esg_scorer\models\climatebert-esg-scorer …
2026-04-16 15:59:05 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 15:59:05 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 15:59:06 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 15:59:06 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
